Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
540	-55.50688	-54.93651	-0.5703719	1.377042	1.377042	1.377042	1.377042	1.377042	1.377042	0.04993228
550	-55.81836	-54.14531	-1.673055	1.909409	1.909409	1.909409	1.909409	1.909409	1.909409	0.04896484
560	-55.91379	-55.09096	-0.8228323	1.868319	1.868319	1.868319	1.868319	1.868319	1.868319	0.02284762
570	-55.79361	-54.58339	-1.210223	1.660542	1.660542	1.660542	1.660542	1.660542	1.660542	0.05245932
580	-60.133	-54.85944	-5.273562	3.245616	3.245616	3.245616	3.245616	3.245616	3.245616	0.1167962
590	-57.40246	-54.1176	-3.284866	2.541272	2.541272	2.541272	2.541272	2.541272	2.541272	0.0647843
600	-58.71748	-54.11051	-4.606973	3.508932	3.508932	3.508932	3.508932	3.508932	3.508932	0.03649999
610	-57.35515	-53.79864	-3.556511	2.763506	2.763506	2.763506	2.763506	2.763506	2.763506	0.05406231
620	-55.73554	-54.61439	-1.121144	1.623186	1.623186	1.623186	1.623186	1.623186	1.623186	0.05194634
630	-54.29932	-55.55435	1.255028	0.7886784	0.7886784	0.7886784	0.7886784	0.7886784	0.7886784	0.02035395
640	-54.28437	-55.57507	1.290693	0.6589387	0.6589387	0.6589387	0.6589387	0.6589387	0.6589387	0.0203266
650	-55.22174	-54.3382	-0.8835384	1.58463	1.58463	1.58463	1.58463	1.58463	1.58463	0.04443767
660	-56.67616	-54.55375	-2.12241	2.007702	2.007702	2.007702	2.007702	2.007702	2.007702	0.06219367
670	-59.2501	-57.34667	-1.903432	1.68353	1.68353	1.68353	1.68353	1.68353	1.68353	0.09991868
680	-57.69628	-54.16017	-3.536108	2.634083	2.634083	2.634083	2.634083	2.634083	2.634083	0.06886211
690	-58.11612	-54.94052	-3.175605	2.360399	2.360399	2.360399	2.360399	2.360399	2.360399	0.08452958
700	-54.57697	-55.06493	0.4879601	1.225028	1.225028	1.225028	1.225028	1.225028	1.225028	0.02333904
710	-55.37068	-54.2293	-1.141377	1.881897	1.881897	1.881897	1.881897	1.881897	1.881897	0.03051811
720	-55.10383	-54.08629	-1.017546	1.750048	1.750048	1.750048	1.750048	1.750048	1.750048	0.03575184
730	-55.49303	-55.12262	-0.3704066	1.661365	1.661365	1.661365	1.661365	1.661365	1.661365	0.02261186
740	-55.57226	-56.82929	1.257024	1.022792	1.022792	1.022792	1.022792	1.022792	1.022792	0.01538015
750	-56.53938	-54.15611	-2.383272	2.175361	2.175361	2.175361	2.175361	2.175361	2.175361	0.05650554
760	-54.1172	-55.27504	1.157845	0.7293431	0.7293431	0.7293431	0.7293431	0.7293431	0.7293431	0.0231333
770	-55.61074	-54.42056	-1.190172	1.945908	1.945908	1.945908	1.945908	1.945908	1.945908	0.02794144
780	-55.4732	-55.26547	-0.2077345	1.601824	1.601824	1.601824	1.601824	1.601824	1.601824	0.02180176
790	-55.79206	-55.88565	0.09359114	1.013004	1.013004	1.013004	1.013004	1.013004	1.013004	0.04997967
800	-54.52148	-54.63347	0.1119975	1.334714	1.334714	1.334714	1.334714	1.334714	1.334714	0.0274711
810	-59.89804	-54.82192	-5.076119	3.16375	3.16375	3.16375	3.16375	3.16375	3.16375	0.1122032
820	-68.3577	-55.79546	-12.56223	5.442823	5.442823	5.442823	5.442823	5.442823	5.442823	4.04169
