Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
200	4	5	13	14	1	27	5	14	12	5	5	6	3	3	4	9	1	1	1	1	24	28	10	26	5	14	5	5	5	5	5	5	11	11	5	5	14	25	5	5	5	14	5	5	5	24	5	5	17	28	29	28	18	29	21	18	21	21	2	21	21	12	1	21	25	24	2	29	2	2
210	5	5	3	14	5	27	5	14	5	5	4	6	18	3	1	9	1	1	1	1	9	28	5	26	5	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	5	9	9	1	23	1	1	1	1	18	18	4	18	5	5	12	5	5	14	5	12	15	15
220	3	5	3	14	3	27	4	14	14	5	12	6	5	3	5	9	2	1	5	1	5	28	26	26	5	14	5	5	5	5	5	5	4	11	5	5	4	15	4	5	5	4	5	5	5	31	5	5	5	5	5	5	5	13	5	5	5	5	2	12	3	25	2	3	2	3	13	2	13	13
230	2	5	23	14	16	27	5	14	5	5	12	6	3	3	23	9	1	1	1	1	1	28	29	26	5	14	5	5	5	5	5	5	4	11	5	5	15	15	5	5	5	15	5	5	21	29	1	21	1	1	1	1	1	1	1	23	3	7	23	21	5	5	3	27	7	28	5	7	23	23
240	5	5	5	14	26	27	5	14	5	5	2	6	5	3	4	9	1	1	1	1	1	28	16	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	12	27	12	12	1	1	12	12	12	12	12	23	12	12	2	20	5	5	31	31	2	5	22	31	22	22
250	5	5	5	14	21	27	5	14	5	5	2	6	3	3	1	9	1	1	1	1	1	28	10	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	24	24	24	24	1	1	28	28	20	28	20	20	31	27	5	31	5	5	5	21	5	5	3	5	14	14
260	5	5	5	14	3	27	22	14	5	5	17	6	1	3	1	9	1	1	1	1	1	28	3	26	14	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	14	5	5	1	1	1	12	1	1	1	1	1	1	8	17	5	22	5	14	12	5	5	12	22	22
270	5	5	5	14	27	27	5	14	5	5	2	6	3	3	4	9	1	1	7	1	1	28	8	26	5	14	5	5	5	5	5	5	15	11	5	5	5	15	5	5	5	5	5	5	14	22	3	14	7	7	7	7	7	7	18	18	18	18	8	26	5	5	5	27	5	5	5	5	22	22
280	5	5	5	14	5	27	14	14	5	5	1	6	1	3	1	9	1	1	1	1	1	28	16	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	7	27	1	21	1	1	1	1	1	1	1	1	1	1	13	1	12	14	28	12	5	5	1	28	20	20
290	5	5	5	14	27	27	5	14	5	5	2	6	19	3	1	9	1	1	1	1	1	28	17	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	12	28	12	12	1	1	1	12	1	1	1	1	26	26	3	26	4	5	31	31	5	5	3	31	3	3
300	1	5	8	14	3	27	5	14	5	5	1	6	1	3	7	9	1	1	1	1	21	28	27	26	3	14	12	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	1	12	1	27	1	1	14	21	7	21	1	7	1	7	1	1	4	1	5	5	6	14	2	16	11	6	11	11
310	5	5	5	14	5	27	5	14	5	5	7	6	1	3	1	9	1	1	1	1	1	28	31	26	5	14	5	5	5	5	5	5	3	11	14	5	5	14	5	5	5	5	5	5	12	31	1	12	1	1	1	1	1	1	1	1	1	1	20	7	5	5	5	5	5	5	1	5	20	20
