region,Amaz_for,Centroam,Dry_diag,Andean,atl_forest
Amaz_for,1,1,1,0.8,1
Centroam,1,1,1,0.8,1
Dry_diag,1,1,1,0.8,1
Andean,0.8,0.8,0.8,1,0.8
atl_forest,1,1,1,0.8,1
