Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
200	5	5	5	14	23	27	5	14	5	5	4	6	2	3	1	1	4	9	1	1	1	28	26	26	5	14	5	5	5	5	5	5	25	11	5	5	15	25	5	5	5	15	5	5	30	31	31	30	1	1	31	31	30	31	28	31	28	28	1	28	2	5	28	28	4	5	7	28	7	7
210	5	5	5	14	27	27	14	14	3	5	2	6	3	3	1	1	1	9	1	1	1	28	18	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	29	5	5	1	1	1	12	1	1	9	1	18	18	3	26	5	14	26	27	5	5	12	31	21	21
220	5	5	14	14	21	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	1	28	10	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	24	24	24	24	1	1	28	28	23	28	23	23	29	29	12	31	5	5	21	21	3	14	5	21	12	12
230	5	5	5	14	14	27	5	14	5	5	1	6	23	3	1	1	1	9	1	1	1	28	18	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	12	29	1	12	1	1	1	1	1	1	1	1	29	23	18	29	5	5	21	14	5	5	4	21	18	18
240	5	5	5	14	5	27	14	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	1	26	22	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	27	1	12	1	1	1	1	1	1	1	1	1	1	5	1	5	14	5	5	20	5	24	20	24	24
250	5	5	15	14	7	27	5	14	5	5	2	6	3	3	7	1	1	9	1	1	1	28	1	26	5	14	5	5	5	5	5	5	11	11	5	5	14	25	5	5	5	14	5	5	12	12	1	12	1	1	1	1	1	1	1	7	7	7	9	16	5	5	5	21	5	15	5	5	23	23
260	5	5	5	14	1	27	5	14	5	5	2	6	17	3	1	1	1	9	1	1	1	28	7	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	12	5	1	12	1	7	1	1	1	1	1	1	1	1	1	1	17	17	2	17	1	5	1	1	12	5	27	12	27	27
270	4	5	4	14	14	27	13	14	2	5	12	6	5	3	26	1	4	9	3	1	30	28	4	26	3	14	3	5	2	5	2	5	2	11	27	5	5	27	5	2	14	5	28	14	3	11	5	31	22	30	2	22	1	10	14	26	5	14	12	12	3	13	1	14	1	4	3	1	21	21
280	4	5	3	14	15	27	4	14	4	5	4	6	5	3	2	1	13	9	6	1	1	28	12	26	1	14	4	5	4	5	4	5	3	11	2	5	4	8	4	4	15	4	5	15	23	12	1	23	1	6	5	1	2	13	4	2	10	15	9	10	5	4	5	15	1	11	5	12	23	23
290	14	5	5	14	27	27	14	14	5	5	4	6	14	3	1	1	1	9	1	1	1	28	6	26	5	14	5	5	5	5	5	5	3	11	5	5	14	14	5	5	5	14	5	5	5	20	5	5	1	1	12	12	1	12	1	1	14	21	18	25	3	14	7	27	3	14	1	7	18	18
300	5	5	5	14	16	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	1	28	26	26	5	14	5	5	5	5	5	5	19	11	5	5	5	30	5	5	5	5	5	5	29	31	23	29	1	1	23	23	23	23	23	23	29	29	12	29	5	5	26	27	5	5	1	31	12	12
310	5	5	29	14	27	27	5	14	5	5	3	6	5	3	1	1	3	9	1	1	16	28	19	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	5	30	5	5	16	16	21	27	1	21	9	1	23	23	3	29	5	5	1	27	26	29	19	26	19	19
320	5	5	21	14	5	27	5	14	5	5	2	6	3	3	1	1	4	9	1	1	1	28	16	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	16	16	27	27	1	1	27	27	30	31	29	31	29	29	1	31	5	5	5	5	30	21	1	30	1	1
330	5	5	5	14	28	27	14	14	5	5	1	6	3	3	6	1	1	9	1	1	1	28	17	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	12	28	12	12	1	1	1	12	1	1	6	6	16	16	2	16	3	14	29	31	5	5	2	29	2	2
340	5	5	5	14	2	27	5	14	5	5	3	6	3	3	1	1	1	9	1	1	1	28	3	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	3	3	5	14	1	1	1	12	1	1	1	1	7	7	10	7	13	5	5	13	5	5	1	5	17	17
350	5	5	5	14	26	27	5	14	5	5	12	6	1	3	1	1	1	9	1	1	2	28	17	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	6	28	1	20	1	6	1	1	1	1	1	1	1	1	4	12	5	5	25	31	2	5	4	30	4	4
360	5	5	5	14	1	27	5	14	14	5	13	6	1	3	1	1	1	9	1	1	12	28	26	26	3	14	5	5	5	5	5	5	10	11	5	5	5	24	5	5	5	5	5	5	3	26	5	14	12	12	1	12	1	1	1	1	1	1	5	20	5	14	9	12	4	5	4	9	15	15
370	5	5	5	14	12	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	1	28	26	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	19	26	10	30	1	1	17	17	17	17	17	17	26	26	16	26	5	5	5	12	5	5	5	5	27	27
380	5	5	14	14	26	27	5	14	5	5	7	6	5	3	1	1	1	9	1	1	1	28	3	26	14	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	14	5	5	1	1	1	12	1	1	5	1	5	5	17	21	5	5	31	31	5	14	1	31	17	17
390	5	5	14	14	20	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	6	28	18	26	3	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	1	18	12	12	1	6	1	12	1	1	6	1	16	16	3	16	5	5	20	20	5	14	11	20	11	11
400	5	5	11	14	31	27	14	14	5	5	1	6	1	3	1	1	1	9	1	1	12	28	11	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	5	25	5	5	12	12	1	12	1	1	1	1	1	1	1	1	3	14	26	31	4	25	6	26	6	6
410	1	5	7	14	1	27	7	14	5	5	1	6	3	3	3	1	1	9	1	1	1	28	7	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	3	7	14	14	1	1	7	21	7	7	3	7	3	3	1	7	5	21	5	12	22	7	12	22	12	12
420	3	5	3	14	1	27	14	14	5	5	2	6	2	3	6	1	1	9	1	1	5	28	22	26	5	14	5	5	5	5	5	5	25	11	5	5	5	25	5	5	5	5	5	5	5	22	5	5	12	12	1	12	1	1	2	6	2	2	1	2	5	14	1	12	1	3	16	1	16	16
430	5	5	3	14	28	27	5	14	5	5	2	6	16	3	1	1	1	9	1	1	1	28	10	26	5	14	5	5	5	5	5	5	3	11	5	5	14	14	5	5	14	14	5	14	5	24	5	5	1	1	1	12	1	1	1	1	6	16	2	6	2	5	2	28	5	14	6	13	6	6
