Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
540	-61.82597	-55.82448	-6.001484	3.387313	3.387313	3.387313	3.387313	3.387313	3.387313	0.1848179
550	-64.31346	-55.94584	-8.367616	4.140008	4.140008	4.140008	4.140008	4.140008	4.140008	0.5050852
560	-62.5384	-58.02805	-4.510348	2.509846	2.509846	2.509846	2.509846	2.509846	2.509846	0.2354083
570	-65.32025	-58.8636	-6.456643	2.581006	2.581006	2.581006	2.581006	2.581006	2.581006	1.423977
580	-64.87188	-55.89423	-8.977653	4.274443	4.274443	4.274443	4.274443	4.274443	4.274443	0.7374421
590	-64.68381	-56.66222	-8.021591	3.445729	3.445729	3.445729	3.445729	3.445729	3.445729	1.248629
600	-62.50747	-56.0542	-6.45327	3.499331	3.499331	3.499331	3.499331	3.499331	3.499331	0.2354414
610	-55.60224	-54.88671	-0.7155295	1.467778	1.467778	1.467778	1.467778	1.467778	1.467778	0.04795675
620	-54.39298	-54.79748	0.4044976	1.142085	1.142085	1.142085	1.142085	1.142085	1.142085	0.02954281
630	-54.45987	-54.71627	0.2564064	1.21532	1.21532	1.21532	1.21532	1.21532	1.21532	0.02996255
640	-54.26199	-55.01284	0.7508475	0.991851	0.991851	0.991851	0.991851	0.991851	0.991851	0.02674143
650	-54.22383	-55.21507	0.9912386	0.8892402	0.8892402	0.8892402	0.8892402	0.8892402	0.8892402	0.02409984
660	-54.21557	-55.1336	0.9180233	0.8758517	0.8758517	0.8758517	0.8758517	0.8758517	0.8758517	0.02632695
670	-58.74198	-56.48997	-2.252009	1.884885	1.884885	1.884885	1.884885	1.884885	1.884885	0.09207072
680	-57.18543	-55.50967	-1.675761	1.757968	1.757968	1.757968	1.757968	1.757968	1.757968	0.06789053
690	-57.51785	-54.07763	-3.440221	2.932307	2.932307	2.932307	2.932307	2.932307	2.932307	0.03435723
700	-55.1413	-56.69133	1.55003	0.7671587	0.7671587	0.7671587	0.7671587	0.7671587	0.7671587	0.01536312
710	-55.30793	-55.36963	0.06169993	1.11333	1.11333	1.11333	1.11333	1.11333	1.11333	0.04377832
720	-55.09215	-54.45638	-0.6357634	1.670209	1.670209	1.670209	1.670209	1.670209	1.670209	0.02893436
730	-55.56734	-54.18677	-1.380571	1.968531	1.968531	1.968531	1.968531	1.968531	1.968531	0.03220506
740	-54.34124	-54.90841	0.5671773	1.04095	1.04095	1.04095	1.04095	1.04095	1.04095	0.02979446
750	-54.73558	-55.79308	1.057501	1.011562	1.011562	1.011562	1.011562	1.011562	1.011562	0.0191043
760	-55.66901	-54.71684	-0.9521757	1.578128	1.578128	1.578128	1.578128	1.578128	1.578128	0.0482516
770	-55.16533	-54.24745	-0.9178827	1.738283	1.738283	1.738283	1.738283	1.738283	1.738283	0.03318395
780	-56.96326	-58.54535	1.582093	0.9926923	0.9926923	0.9926923	0.9926923	0.9926923	0.9926923	0.01163157
790	-54.69166	-55.48746	0.7958062	0.7500928	0.7500928	0.7500928	0.7500928	0.7500928	0.7500928	0.03295272
800	-54.84565	-55.99759	1.151939	0.9834659	0.9834659	0.9834659	0.9834659	0.9834659	0.9834659	0.0181276
810	-56.55888	-54.03991	-2.518969	2.299505	2.299505	2.299505	2.299505	2.299505	2.299505	0.04980379
820	-60.41072	-56.05905	-4.35167	2.700074	2.700074	2.700074	2.700074	2.700074	2.700074	0.1361102
830	-64.35548	-56.60459	-7.75089	3.483841	3.483841	3.483841	3.483841	3.483841	3.483841	0.8870709
840	-66.08451	-59.29463	-6.789886	2.477947	2.477947	2.477947	2.477947	2.477947	2.477947	2.457262
850	-65.39142	-56.35419	-9.037229	3.680514	3.680514	3.680514	3.680514	3.680514	3.680514	2.234293
860	-56.20937	-53.95269	-2.256684	2.250955	2.250955	2.250955	2.250955	2.250955	2.250955	0.04243536
870	-55.85366	-54.27444	-1.579216	1.886199	1.886199	1.886199	1.886199	1.886199	1.886199	0.04685
880	-54.80386	-55.14689	0.343035	1.310777	1.310777	1.310777	1.310777	1.310777	1.310777	0.02286224
890	-55.07437	-56.63471	1.560349	0.7258636	0.7258636	0.7258636	0.7258636	0.7258636	0.7258636	0.0154848
900	-56.90854	-54.73665	-2.171886	2.028931	2.028931	2.028931	2.028931	2.028931	2.028931	0.06245251
910	-54.37633	-54.87949	0.5031564	1.06414	1.06414	1.06414	1.06414	1.06414	1.06414	0.03059346
920	-54.23822	-55.36776	1.129536	0.8208441	0.8208441	0.8208441	0.8208441	0.8208441	0.8208441	0.0225012
930	-55.69102	-55.00961	-0.6814006	1.79271	1.79271	1.79271	1.79271	1.79271	1.79271	0.02331861
940	-55.5438	-56.54976	1.005958	0.4026517	0.4026517	0.4026517	0.4026517	0.4026517	0.4026517	0.01530901
950	-58.98906	-54.2335	-4.755559	3.16647	3.16647	3.16647	3.16647	3.16647	3.16647	0.08100425
960	-54.29754	-55.07069	0.7731574	0.9118643	0.9118643	0.9118643	0.9118643	0.9118643	0.9118643	0.02916984
970	-55.39935	-55.99914	0.5997962	0.4813855	0.4813855	0.4813855	0.4813855	0.4813855	0.4813855	0.03158809
980	-54.6683	-55.26508	0.596781	0.9087324	0.9087324	0.9087324	0.9087324	0.9087324	0.9087324	0.03493116
990	-55.32028	-56.40676	1.086481	1.07985	1.07985	1.07985	1.07985	1.07985	1.07985	0.01663326
1000	-54.31286	-55.5258	1.212943	0.8051699	0.8051699	0.8051699	0.8051699	0.8051699	0.8051699	0.02097041
1010	-54.26943	-55.0321	0.7626663	0.9431328	0.9431328	0.9431328	0.9431328	0.9431328	0.9431328	0.0283102
1020	-54.57087	-54.74713	0.1762618	1.306529	1.306529	1.306529	1.306529	1.306529	1.306529	0.02723822
1030	-57.54854	-55.13486	-2.413685	2.617368	2.617368	2.617368	2.617368	2.617368	2.617368	0.02319217
