Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
200	5	5	3	14	2	27	4	14	17	5	23	6	11	3	3	1	7	9	9	1	4	28	9	26	3	14	5	5	5	5	14	11	5	5	5	5	5	5	5	14	5	5	5	5	12	18	1	12	6	9	2	6	3	16	3	3	4	11	28	23	5	17	10	13	2	14	2	10	28	28
210	5	5	5	14	18	27	5	14	5	5	1	6	3	3	1	1	1	9	1	1	1	28	3	26	14	14	12	5	5	5	7	11	5	5	5	5	5	5	5	21	5	5	12	12	5	14	1	12	1	1	1	1	1	1	1	1	7	7	4	7	5	5	31	29	5	5	16	31	26	26
220	2	5	21	14	29	27	5	14	5	5	18	6	3	3	3	1	8	9	4	1	9	28	14	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	14	5	5	9	9	2	23	3	8	3	3	3	3	4	18	2	5	5	31	31	27	3	31	11	11
230	12	5	5	14	31	27	5	14	5	5	20	6	1	3	1	1	1	9	1	1	1	28	7	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	1	7	1	12	1	1	1	1	1	1	1	1	1	1	14	20	5	5	5	31	27	12	5	27	14	14
240	5	5	3	14	21	27	5	14	5	5	2	6	3	3	1	1	4	9	1	1	24	28	3	26	14	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	15	15	5	15	5	14	5	5	28	28	28	28	28	28	28	28	29	31	3	31	5	5	12	21	3	14	3	21	3	3
250	5	5	14	14	5	27	5	14	5	5	31	6	3	3	1	1	1	9	1	1	12	28	3	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	3	3	5	14	12	12	1	12	1	1	1	1	3	7	1	31	5	5	5	5	25	14	1	25	1	1
260	5	5	5	14	17	27	5	14	5	5	27	6	1	3	1	1	1	9	1	1	1	28	17	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	28	1	12	1	1	1	1	1	1	1	1	1	1	14	27	5	5	12	28	5	5	1	12	21	21
270	5	5	5	14	29	27	15	14	5	5	2	6	3	3	1	1	4	9	1	1	1	28	26	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	26	26	31	31	1	1	31	31	31	31	31	31	31	31	5	31	4	15	26	29	5	5	24	31	24	24
280	5	5	3	14	8	27	5	14	5	5	1	6	3	3	4	1	4	9	1	1	28	28	3	26	14	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	5	15	5	5	5	14	5	5	17	28	24	28	24	24	24	24	25	30	24	29	3	5	1	8	6	14	1	6	28	28
290	5	5	5	14	5	27	5	14	5	5	1	6	7	3	1	1	1	9	1	1	1	28	3	26	14	14	5	5	5	5	14	11	5	5	5	5	5	5	14	14	5	14	5	5	5	14	5	5	1	1	1	12	1	1	1	1	1	7	31	1	5	5	5	5	25	5	3	25	31	31
300	5	5	5	14	5	27	5	14	5	5	20	6	3	3	3	1	4	9	1	1	1	28	3	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	3	3	14	14	1	1	14	21	14	25	3	14	3	3	5	27	5	5	5	5	5	5	5	5	5	5
310	5	5	5	14	4	27	18	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	26	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	27	26	1	27	1	1	1	1	1	1	1	1	1	1	1	1	11	29	26	11	5	5	3	31	7	7
320	5	5	3	14	25	27	22	14	5	5	13	6	9	3	1	1	1	9	1	1	6	28	18	26	3	14	5	5	5	5	4	11	5	5	5	5	5	5	5	15	5	5	5	5	1	18	1	12	1	6	1	1	1	1	1	1	1	9	4	20	3	22	14	25	4	14	3	25	11	11
330	5	5	5	14	1	27	5	14	5	5	4	6	3	3	1	1	1	9	1	1	1	28	6	26	5	14	5	5	5	5	3	11	5	5	5	5	14	5	5	14	5	5	5	5	12	20	1	12	1	1	1	1	1	1	12	1	21	21	2	29	1	5	1	1	5	5	1	12	6	6
340	5	5	3	14	1	27	3	14	5	5	2	6	10	3	1	1	4	9	1	1	1	28	9	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	23	12	12	1	1	12	12	1	23	1	1	17	17	4	17	14	14	1	21	31	14	4	31	4	4
350	4	5	4	14	5	27	25	14	5	5	4	6	4	3	2	1	2	9	1	1	1	28	3	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	3	1	12	1	1	2	1	2	2	2	2	15	10	3	15	5	25	5	5	5	4	25	5	25	25
360	5	5	14	14	30	27	5	14	5	5	5	6	3	3	6	1	1	9	1	1	9	28	9	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	23	1	12	1	9	1	1	1	1	2	6	8	8	3	22	1	5	28	31	4	14	3	28	3	3
370	17	5	5	14	3	27	7	14	5	5	30	6	3	3	7	1	1	9	1	1	1	28	26	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	6	26	12	20	1	1	1	12	1	1	7	7	1	7	4	31	16	21	1	16	13	28	23	20	23	23
380	5	5	5	14	9	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	1	28	26	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	15	15	4	15	27	31	31	31	1	1	27	31	27	27	31	27	31	31	4	31	5	5	5	23	5	5	2	5	10	10
390	22	5	3	14	3	27	3	14	3	5	28	6	3	3	3	1	8	9	5	1	5	28	18	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	29	5	5	5	5	5	5	3	22	3	3	3	3	2	31	3	3	1	3	2	22	25	6	30	30
