Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
540	-57.12705	-56.00513	-1.121913	1.49252	1.49252	1.49252	1.49252	1.49252	1.49252	0.06840112
550	-57.07757	-57.00017	-0.07739938	1.657502	1.657502	1.657502	1.657502	1.657502	1.657502	0.01700784
560	-55.00098	-54.72661	-0.2743678	1.467268	1.467268	1.467268	1.467268	1.467268	1.467268	0.0308826
570	-56.14531	-56.76441	0.6191023	0.6644985	0.6644985	0.6644985	0.6644985	0.6644985	0.6644985	0.03983697
580	-55.91039	-56.86844	0.9580485	1.125632	1.125632	1.125632	1.125632	1.125632	1.125632	0.01748503
590	-56.29099	-54.48591	-1.805074	1.892711	1.892711	1.892711	1.892711	1.892711	1.892711	0.0579087
600	-57.13904	-54.33481	-2.804223	2.689724	2.689724	2.689724	2.689724	2.689724	2.689724	0.02957735
610	-58.67699	-54.90777	-3.769224	2.553775	2.553775	2.553775	2.553775	2.553775	2.553775	0.1024836
620	-54.99485	-55.4454	0.4505504	0.9956323	0.9956323	0.9956323	0.9956323	0.9956323	0.9956323	0.03590581
630	-56.65413	-55.69557	-0.9585591	1.459203	1.459203	1.459203	1.459203	1.459203	1.459203	0.06224279
640	-54.78636	-55.7377	0.951338	0.8330782	0.8330782	0.8330782	0.8330782	0.8330782	0.8330782	0.02659757
650	-54.86211	-54.89536	0.03325512	1.313278	1.313278	1.313278	1.313278	1.313278	1.313278	0.03101083
660	-55.25588	-54.50491	-0.7509683	1.549144	1.549144	1.549144	1.549144	1.549144	1.549144	0.04193708
670	-55.81647	-56.47566	0.6591893	0.7014682	0.7014682	0.7014682	0.7014682	0.7014682	0.7014682	0.03832677
680	-55.2928	-56.13118	0.8383873	0.6676792	0.6676792	0.6676792	0.6676792	0.6676792	0.6676792	0.03201194
690	-54.91492	-56.08735	1.172425	0.74456	0.74456	0.74456	0.74456	0.74456	0.74456	0.02266755
700	-55.94271	-57.50532	1.562609	0.7090308	0.7090308	0.7090308	0.7090308	0.7090308	0.7090308	0.01551214
710	-55.28513	-54.26338	-1.021756	1.737972	1.737972	1.737972	1.737972	1.737972	1.737972	0.03684068
720	-55.33361	-54.44877	-0.8848477	1.600618	1.600618	1.600618	1.600618	1.600618	1.600618	0.04301945
730	-55.31961	-54.63216	-0.6874539	1.498372	1.498372	1.498372	1.498372	1.498372	1.498372	0.04376187
740	-55.67883	-56.38196	0.7031325	0.447991	0.447991	0.447991	0.447991	0.447991	0.447991	0.02544966
750	-55.52238	-56.46075	0.9383678	1.086824	1.086824	1.086824	1.086824	1.086824	1.086824	0.01906397
760	-55.47117	-55.19535	-0.2758176	1.270795	1.270795	1.270795	1.270795	1.270795	1.270795	0.04589781
770	-57.3207	-53.5128	-3.807895	2.923156	2.923156	2.923156	2.923156	2.923156	2.923156	0.05053196
780	-56.09881	-53.83192	-2.266889	2.216609	2.216609	2.216609	2.216609	2.216609	2.216609	0.04609387
790	-59.94313	-53.50132	-6.441814	4.285159	4.285159	4.285159	4.285159	4.285159	4.285159	0.05734191
800	-55.03374	-55.50297	0.4692327	0.9766147	0.9766147	0.9766147	0.9766147	0.9766147	0.9766147	0.0362364
810	-55.45619	-54.62116	-0.8350268	1.761886	1.761886	1.761886	1.761886	1.761886	1.761886	0.02904331
820	-55.94542	-54.95336	-0.9920623	1.546707	1.546707	1.546707	1.546707	1.546707	1.546707	0.05364438
830	-61.7803	-55.58304	-6.197259	3.444734	3.444734	3.444734	3.444734	3.444734	3.444734	0.2018111
840	-59.0619	-55.47543	-3.586477	2.419923	2.419923	2.419923	2.419923	2.419923	2.419923	0.1125973
850	-56.79851	-53.64206	-3.156455	2.588479	2.588479	2.588479	2.588479	2.588479	2.588479	0.05171257
860	-54.96698	-56.03739	1.070416	0.6580025	0.6580025	0.6580025	0.6580025	0.6580025	0.6580025	0.02532933
870	-55.86316	-53.89722	-1.965934	2.119919	2.119919	2.119919	2.119919	2.119919	2.119919	0.04187343
880	-55.00296	-55.8534	0.8504426	0.7635919	0.7635919	0.7635919	0.7635919	0.7635919	0.7635919	0.03098684
890	-54.87324	-54.9246	0.05135419	1.317489	1.317489	1.317489	1.317489	1.317489	1.317489	0.03020248
900	-55.53664	-54.84487	-0.691767	1.460211	1.460211	1.460211	1.460211	1.460211	1.460211	0.04756845
910	-57.63532	-56.31252	-1.322802	2.186785	2.186785	2.186785	2.186785	2.186785	2.186785	0.01909975
920	-55.86036	-54.72332	-1.137039	1.627253	1.627253	1.627253	1.627253	1.627253	1.627253	0.05232583
930	-55.41336	-56.20935	0.7959828	0.6684257	0.6684257	0.6684257	0.6684257	0.6684257	0.6684257	0.03340282
940	-56.77691	-53.69332	-3.083589	2.533916	2.533916	2.533916	2.533916	2.533916	2.533916	0.05378167
950	-56.85861	-54.23626	-2.622343	2.223657	2.223657	2.223657	2.223657	2.223657	2.223657	0.06479597
960	-54.89564	-55.14873	0.2530945	1.262386	1.262386	1.262386	1.262386	1.262386	1.262386	0.02748776
970	-59.75627	-54.71633	-5.03994	3.097983	3.097983	3.097983	3.097983	3.097983	3.097983	0.1229206
980	-57.84857	-54.36411	-3.484468	2.52078	2.52078	2.52078	2.52078	2.52078	2.52078	0.08250706
990	-56.81863	-53.95423	-2.864403	2.647376	2.647376	2.647376	2.647376	2.647376	2.647376	0.03423671
1000	-55.96841	-55.02677	-0.9416459	1.520274	1.520274	1.520274	1.520274	1.520274	1.520274	0.05390882
1010	-54.74705	-55.40941	0.6623643	1.00537	1.00537	1.00537	1.00537	1.00537	1.00537	0.02863034
1020	-55.2603	-55.86604	0.60574	0.8531739	0.8531739	0.8531739	0.8531739	0.8531739	0.8531739	0.03685311
1030	-56.43836	-55.27376	-1.164598	1.571677	1.571677	1.571677	1.571677	1.571677	1.571677	0.0604876
1040	-56.18984	-56.77675	0.5869084	0.6951578	0.6951578	0.6951578	0.6951578	0.6951578	0.6951578	0.04122333
1050	-55.25666	-55.71772	0.461058	0.9366611	0.9366611	0.9366611	0.9366611	0.9366611	0.9366611	0.03860769
1060	-56.75948	-53.63207	-3.127411	2.658416	2.658416	2.658416	2.658416	2.658416	2.658416	0.04354623
